area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_eve_minutes,total_eve_calls,total_night_minutes,total_night_calls,total_intl_minutes,total_intl_calls,customer_service_calls,churn,servicesAvailed_years,day_rate,eve_rate,night_rate,intl_rate
415,0,1,25,265.1,110,197.4,99,244.7,91,10.0,3,1,0,11.0,0.1700113164843455,0.08500506585612969,0.044993870044953005,0.27
415,0,1,26,161.6,123,195.5,103,254.4,103,13.7,3,1,0,9.0,0.16998762376237625,0.08501278772378518,0.04500786163522012,0.27007299270072993
415,0,0,0,243.4,114,121.2,110,162.6,104,12.2,5,0,0,11.0,0.17000821692686935,0.08498349834983498,0.045018450184501846,0.269672131147541
408,1,0,0,299.4,71,61.9,88,196.9,89,6.6,7,2,0,7.0,0.17000668002672012,0.08497576736672051,0.04499746063991874,0.2696969696969697
415,1,0,0,166.7,113,148.3,122,186.9,121,10.1,3,3,0,6.0,0.17000599880023995,0.08503034389750505,0.04499732477260567,0.2702970297029703
510,1,0,0,223.4,98,220.6,101,203.9,118,6.3,6,0,0,10.0,0.17000895255147716,0.08499546690843156,0.04502206964198136,0.2698412698412698
510,0,1,24,218.2,88,348.5,108,212.6,118,7.5,7,3,0,10.0,0.16998166819431718,0.08499282639885222,0.04501411100658514,0.27066666666666667
415,1,0,0,157.0,79,103.1,94,211.8,96,7.1,6,0,0,12.0,0.17,0.08496605237633366,0.04499527856468366,0.27042253521126763
408,0,0,0,184.5,97,351.6,80,215.8,90,8.7,4,1,0,10.0,0.1700271002710027,0.08501137656427758,0.04499536607970343,0.2701149425287357
415,1,1,37,258.6,84,222.0,111,326.4,97,11.2,5,0,0,12.0,0.16999226604795048,0.085,0.04500612745098039,0.2696428571428572
415,0,0,0,129.1,137,228.5,83,208.8,111,12.7,6,4,1,5.0,0.1700232378001549,0.08498905908096281,0.045019157088122604,0.27007874015748035
415,0,0,0,187.7,127,163.4,148,196.0,94,9.1,5,0,0,6.0,0.17000532765050613,0.08500611995104039,0.045,0.2703296703296703
408,0,0,0,128.8,96,104.9,71,141.1,128,11.2,2,1,0,14.0,0.1700310559006211,0.08503336510962821,0.04500354358610914,0.2696428571428572
510,0,0,0,156.6,88,247.6,75,192.3,115,12.3,5,3,0,8.0,0.1699872286079183,0.08501615508885299,0.04498179927197088,0.26991869918699185
415,0,0,0,120.7,70,307.2,76,203.0,99,13.1,6,4,0,5.0,0.1700082850041425,0.08499348958333333,0.045024630541871925,0.2702290076335878
415,0,0,0,332.9,67,317.8,97,160.6,128,5.4,9,4,1,13.0,0.16999098828477022,0.08499056010069227,0.0450186799501868,0.27037037037037037
408,0,1,27,196.4,139,280.9,90,89.3,75,13.8,4,1,0,7.0,0.170010183299389,0.0850124599501602,0.04501679731243001,0.2702898550724638
510,0,0,0,190.7,114,218.2,111,129.6,121,8.1,3,3,0,8.0,0.1700052438384898,0.08501374885426215,0.04498456790123457,0.27037037037037037
510,0,1,33,189.7,66,212.8,65,165.7,108,10.0,5,1,0,6.0,0.17000527148128625,0.08500939849624059,0.04502112251056126,0.27
415,0,0,0,224.4,90,159.5,88,192.8,74,13.0,2,1,0,6.0,0.17000891265597146,0.08501567398119123,0.0450207468879668,0.26999999999999996
415,0,0,0,155.1,117,239.7,93,208.8,133,10.6,4,0,0,12.0,0.1700193423597679,0.08498122653316646,0.045019157088122604,0.269811320754717
408,0,0,0,62.4,89,169.9,121,209.6,64,5.7,6,5,1,6.0,0.1700320512820513,0.08499117127722189,0.044990458015267173,0.27017543859649124
415,0,0,0,183.0,112,72.9,99,181.8,78,9.5,19,0,0,11.0,0.16999999999999998,0.0850480109739369,0.04499449944994499,0.27052631578947367
415,0,0,0,110.4,103,137.3,102,189.6,105,7.7,6,2,0,9.0,0.17001811594202898,0.08499635833940276,0.044989451476793244,0.2701298701298701
510,0,0,0,81.1,86,245.2,72,237.0,115,10.3,2,0,0,11.0,0.17003699136868064,0.08499184339314846,0.0450210970464135,0.2699029126213592
415,0,0,0,124.3,76,277.1,112,250.7,115,15.5,5,3,0,14.0,0.16999195494770716,0.08498736918080114,0.044994016753091344,0.2703225806451613
408,0,1,39,213.0,115,191.1,112,182.7,115,9.5,3,0,0,5.0,0.17,0.08498168498168497,0.04499178981937603,0.27052631578947367
408,0,0,0,134.3,73,155.5,100,102.1,68,14.7,4,3,0,4.0,0.16999255398361873,0.08501607717041801,0.04495592556317336,0.27006802721088435
415,0,0,0,190.0,109,258.2,84,181.5,102,6.3,6,0,0,2.0,0.16999999999999998,0.08501161890007745,0.04501377410468319,0.2698412698412698
510,0,0,0,119.3,117,215.1,109,178.7,90,11.1,1,1,0,4.0,0.16999161777032692,0.08498372849837285,0.044991606043648574,0.2702702702702703
415,0,0,0,84.8,95,136.7,63,250.5,148,14.2,6,2,0,12.0,0.17004716981132076,0.08500365764447695,0.04499001996007984,0.26971830985915496
510,0,0,0,226.1,105,201.5,107,246.2,98,10.3,5,1,0,6.0,0.17001326846528084,0.08501240694789082,0.04500406173842405,0.2699029126213592
408,0,0,0,212.0,121,31.2,115,293.3,78,12.6,10,3,0,14.0,0.16999999999999998,0.08493589743589744,0.04500511421752471,0.2698412698412698
408,0,0,0,249.6,118,252.4,119,280.2,90,11.8,3,1,1,1.0,0.1699919871794872,0.08498415213946117,0.045003568879371875,0.2703389830508474
408,0,1,25,176.8,94,195.0,75,213.5,116,8.3,4,0,0,5.0,0.17002262443438912,0.08502564102564102,0.045011709601873534,0.26987951807228916
415,0,1,37,220.0,80,217.3,102,152.8,71,14.7,6,3,0,6.0,0.16999999999999998,0.0849976990335941,0.0450261780104712,0.27006802721088435
408,0,1,30,146.3,128,162.5,80,129.3,109,14.5,6,0,0,3.0,0.16999316473000683,0.0849846153846154,0.04501160092807424,0.27034482758620687
415,0,0,0,130.8,64,223.7,116,227.8,108,10.0,5,1,0,6.0,0.17003058103975532,0.08497988377291016,0.04499561018437225,0.27
415,1,1,33,203.9,106,187.6,99,101.7,107,10.5,6,3,0,11.0,0.16998528690534573,0.08502132196162047,0.04503441494591937,0.2704761904761905
408,0,0,0,140.4,94,271.8,92,188.3,108,11.1,9,1,0,12.0,0.170014245014245,0.08498896247240618,0.04498141263940521,0.2702702702702703
408,0,0,0,126.3,102,166.8,85,187.8,135,9.4,2,3,0,8.0,0.16999208234362628,0.08501199040767385,0.04499467518636847,0.2702127659574468
408,1,1,41,173.1,85,203.9,107,122.2,78,14.6,15,0,1,11.0,0.17001733102253033,0.08499264345267286,0.045008183306055646,0.26986301369863014
510,0,0,0,124.8,82,282.2,98,311.5,78,10.0,4,2,0,3.0,0.1700320512820513,0.08501063075832742,0.045008025682182984,0.27
415,0,0,0,85.8,77,165.3,110,178.5,92,9.2,4,3,0,13.0,0.17004662004662005,0.08499697519661222,0.0449859943977591,0.26956521739130435
510,0,0,0,154.0,67,225.8,118,265.3,86,3.5,3,1,0,5.0,0.16999999999999998,0.08498671390611161,0.04500565397663023,0.2714285714285714
408,0,1,28,120.9,97,213.0,92,163.1,116,8.5,5,2,0,5.0,0.16997518610421836,0.08502347417840375,0.045003065603923975,0.27058823529411763
415,0,0,0,211.3,120,162.6,122,134.7,118,13.2,5,3,0,5.0,0.16999526739233317,0.08499384993849939,0.04498886414253898,0.2696969696969697
408,0,0,0,187.0,133,134.6,74,242.2,127,7.4,5,2,0,12.0,0.16999999999999998,0.0849925705794948,0.045004128819157725,0.27027027027027023
415,0,0,0,159.1,114,231.3,117,143.2,91,8.8,3,5,1,10.0,0.1700188560653677,0.0849978383052313,0.04497206703910615,0.27045454545454545
415,0,1,24,133.2,135,217.2,58,70.6,79,11.0,3,1,0,8.0,0.16996996996997,0.08499079189686926,0.04504249291784703,0.27
408,0,0,0,191.9,108,269.8,96,236.8,87,7.8,5,3,0,4.0,0.16998436685773838,0.08498888065233506,0.04501689189189189,0.2705128205128205
408,0,0,0,220.6,57,211.1,115,249.0,129,6.8,3,1,0,5.0,0.16999093381686312,0.08498342018000948,0.04502008032128514,0.2705882352941177
408,0,0,0,186.1,112,190.2,66,282.8,57,11.4,6,2,0,1.0,0.17001612036539496,0.08501577287066248,0.045014144271570015,0.27017543859649124
415,0,0,0,160.2,117,267.5,67,228.5,68,9.3,5,2,0,8.0,0.16997503121098628,0.08500934579439252,0.0449890590809628,0.2698924731182795
415,0,0,0,151.0,83,219.7,116,203.9,127,9.7,3,5,1,7.0,0.17,0.08497951752389624,0.04502206964198136,0.2701030927835052
408,0,0,0,175.5,67,249.3,85,270.2,98,10.2,3,1,0,7.0,0.17002849002849002,0.08499799438427598,0.04500370096225019,0.26960784313725494
415,0,0,0,126.9,98,180.0,62,140.8,128,8.0,2,1,0,12.0,0.16997635933806146,0.085,0.045028409090909084,0.27
408,0,1,30,198.4,129,75.3,77,181.2,77,5.8,3,3,1,10.0,0.17001008064516127,0.08499335989375831,0.04497792494481237,0.27068965517241383
415,0,0,0,148.8,70,246.5,164,129.8,103,12.1,3,3,0,6.0,0.1700268817204301,0.08498985801217038,0.04499229583975346,0.2702479338842975
408,0,0,0,229.3,103,177.4,126,189.3,95,12.0,8,1,0,10.0,0.16999563890100303,0.08500563697857948,0.04500792393026941,0.27
408,0,0,0,192.1,97,169.9,94,166.6,54,11.4,4,1,0,14.0,0.1700156168662155,0.08499117127722189,0.045018007202881155,0.27017543859649124
415,0,1,34,268.6,83,178.2,142,166.3,106,11.6,3,2,0,10.0,0.16999255398361873,0.08501683501683502,0.0449789536981359,0.26982758620689656
510,0,1,33,193.7,91,246.1,96,138.0,92,14.6,3,2,0,6.0,0.17000516262261228,0.08500609508329948,0.045,0.26986301369863014
408,0,1,28,180.7,92,187.8,64,265.5,53,12.6,3,3,0,12.0,0.170005534034311,0.08498402555910543,0.04500941619585687,0.2698412698412698
408,0,0,0,131.2,98,162.9,97,159.0,106,8.2,6,2,0,3.0,0.16996951219512196,0.08502148557397175,0.0449685534591195,0.26951219512195124
415,0,1,41,148.1,74,169.5,88,214.1,102,6.2,5,2,0,3.0,0.1700202565833896,0.08501474926253687,0.04497898178421299,0.2693548387096774
415,1,0,0,251.5,105,212.8,104,157.8,67,9.3,4,0,0,4.0,0.17001988071570576,0.08500939849624059,0.04499366286438529,0.2698924731182795
408,1,0,0,125.2,93,206.4,119,129.3,139,8.3,8,0,0,9.0,0.16996805111821087,0.08498062015503875,0.04501160092807424,0.26987951807228916
408,0,0,0,211.6,70,216.9,80,153.5,60,7.8,1,1,0,10.0,0.1699905482041588,0.08501613646841863,0.045016286644951144,0.2705128205128205
510,0,0,0,178.9,101,169.1,110,148.6,100,13.8,3,4,1,12.0,0.16998323085522637,0.0849793021880544,0.04502018842530283,0.2702898550724638
408,0,0,0,241.8,93,170.5,83,295.3,104,11.8,7,3,0,12.0,0.17001654259718774,0.08498533724340177,0.045005079580088043,0.2703389830508474
510,0,1,46,224.9,97,188.2,84,254.6,61,12.1,2,0,0,14.0,0.1699866607381058,0.08501594048884166,0.045011783189316576,0.2702479338842975
